variable,value,pop,logged_iso2,mean_w,se_w,count,question_n,question_text
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AE,.12469869,.044790301,11,88,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AE,.8753013,.044790301,77,88,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AL,.090394318,.03684086,16,141,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AL,.90960574,.036840849,125,141,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AO,,,,,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AO,1,0,35,35,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AR,.11162165,.046178892,9,84,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AR,.88837832,.046178896,75,84,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AT,.1889981,.036611427,48,248,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AT,.81100184,.03661143,200,248,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AU,.16962326,.029432816,51,276,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AU,.83037674,.029432816,225,276,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AZ,.068246879,.037807077,9,105,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,AZ,.9317531,.037807085,96,105,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BA,.11396908,.038203649,14,112,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BA,.88603091,.038203649,98,112,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BD,.22311884,.15536994,4,16,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BD,.77688122,.15536994,12,16,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BE,.145677,.03141791,25,191,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BE,.85432303,.031417906,166,191,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BF,.090064973,.031341307,9,110,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BF,.90993506,.031341303,101,110,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BG,.11340067,.030742686,17,152,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BG,.88659924,.030742696,135,152,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BJ,.066504955,.037156492,10,93,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BJ,.93349504,.037156492,83,93,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BO,.17672169,.03775939,23,125,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BO,.82327837,.037759382,102,125,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BR,.063898377,.027319845,12,189,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,BR,.93610168,.027319835,177,189,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CA,.13781366,.024660829,48,311,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CA,.86218637,.024660828,263,311,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CH,.073067226,.026613805,18,177,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CH,.92693275,.026613809,159,177,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CI,.046577096,.024515705,6,108,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CI,.95342284,.02451572,102,108,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CL,.17883554,.039388318,26,157,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CL,.82116443,.039388321,131,157,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CM,.15299733,.057052009,8,68,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CM,.84700269,.057052005,60,68,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CO,.29651007,.076948501,11,54,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CO,.7034899,.076948501,43,54,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CR,.25848547,.041023914,43,185,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CR,.7415145,.041023917,142,185,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CY,.10344312,.031790126,17,138,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CY,.89655691,.031790126,121,138,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CZ,.13333423,.03014297,23,182,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,CZ,.86666578,.030142969,159,182,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Checked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,DE,.24238724,.040244494,51,224,What are the most important challenges your business currently faces? (Please select up to two)
bus_chl_government_regulations,"Unchecked: Government regulations (e.g., compliance, technical regulation, patents, reporting)",smb business leaders,DE,.75761276,.040244494,173,224,What are the most important challenges your business currently faces? (Please select up to two)
