Category: All categories

Month,social media marketing: (United States),small business: (United States)
2004-01,0,84
2004-02,0,80
2004-03,0,81
2004-04,0,80
2004-05,0,72
2004-06,0,82
2004-07,0,86
2004-08,0,82
2004-09,0,82
2004-10,0,76
2004-11,0,71
2004-12,0,61
2005-01,0,80
2005-02,0,82
2005-03,0,83
2005-04,0,75
2005-05,0,72
2005-06,0,77
2005-07,0,70
2005-08,0,72
2005-09,0,69
2005-10,0,70
2005-11,0,64
2005-12,0,58
2006-01,0,74
2006-02,0,68
2006-03,0,70
2006-04,0,68
2006-05,0,62
2006-06,0,64
2006-07,0,62
2006-08,0,66
2006-09,0,60
2006-10,0,63
2006-11,0,57
2006-12,0,50
2007-01,0,64
2007-02,0,61
2007-03,0,60
2007-04,0,60
2007-05,0,58
2007-06,<1,58
2007-07,<1,58
2007-08,<1,61
2007-09,<1,58
2007-10,<1,58
2007-11,<1,53
2007-12,<1,47
2008-01,<1,60
2008-02,<1,58
2008-03,<1,59
2008-04,<1,56
2008-05,<1,49
2008-06,<1,50
2008-07,<1,49
2008-08,<1,50
2008-09,<1,51
2008-10,<1,53
2008-11,<1,49
2008-12,<1,44
2009-01,1,51
2009-02,1,57
2009-03,1,62
2009-04,1,56
2009-05,1,50
2009-06,1,53
2009-07,1,52
2009-08,1,51
2009-09,1,50
2009-10,1,51
2009-11,1,49
2009-12,1,45
2010-01,1,54
2010-02,2,53
2010-03,2,56
2010-04,2,50
2010-05,2,45
2010-06,2,46
2010-07,1,42
2010-08,1,42
2010-09,1,46
2010-10,2,41
2010-11,1,42
2010-12,2,35
2011-01,2,47
2011-02,2,46
2011-03,2,44
2011-04,2,42
2011-05,2,39
2011-06,2,41
2011-07,2,37
2011-08,2,47
2011-09,2,42
2011-10,2,40
2011-11,2,52
2011-12,2,34
2012-01,2,42
2012-02,2,42
2012-03,2,39
2012-04,2,40
2012-05,2,38
2012-06,2,42
2012-07,2,41
2012-08,2,38
2012-09,2,38
2012-10,2,39
2012-11,2,54
2012-12,2,31
2013-01,2,39
2013-02,2,40
2013-03,2,35
2013-04,2,38
2013-05,2,33
2013-06,2,36
2013-07,2,32
2013-08,2,34
2013-09,2,36
2013-10,2,37
2013-11,2,45
2013-12,2,32
2014-01,2,38
2014-02,2,38
2014-03,2,35
2014-04,2,36
2014-05,2,33
2014-06,2,33
2014-07,2,32
2014-08,2,29
2014-09,2,31
2014-10,2,32
2014-11,2,43
2014-12,2,28
2015-01,2,32
2015-02,2,32
2015-03,2,34
2015-04,2,33
2015-05,2,29
2015-06,2,30
2015-07,2,31
2015-08,2,30
2015-09,2,30
2015-10,2,31
2015-11,2,36
2015-12,2,27
2016-01,3,34
2016-02,3,37
2016-03,3,35
2016-04,3,34
2016-05,3,31
2016-06,3,28
2016-07,3,28
2016-08,3,30
2016-09,3,29
2016-10,3,32
2016-11,3,40
2016-12,3,30
2017-01,3,37
2017-02,3,39
2017-03,4,36
2017-04,4,36
2017-05,3,34
2017-06,3,33
2017-07,3,32
2017-08,3,30
2017-09,3,36
2017-10,3,36
2017-11,3,42
2017-12,2,30
2018-01,3,32
2018-02,3,35
2018-03,3,30
2018-04,3,32
2018-05,3,29
2018-06,3,28
2018-07,3,29
2018-08,2,28
2018-09,3,29
2018-10,3,30
2018-11,3,37
2018-12,2,26
2019-01,3,32
2019-02,3,34
2019-03,3,32
2019-04,3,31
2019-05,3,30
2019-06,3,28
2019-07,2,28
2019-08,3,30
2019-09,3,32
2019-10,3,31
2019-11,3,34
2019-12,3,30
2020-01,3,36
2020-02,3,34
2020-03,3,92
2020-04,3,100
2020-05,3,48
2020-06,3,47
2020-07,3,59
2020-08,3,45
2020-09,4,44
2020-10,3,43
2020-11,3,48
2020-12,3,45
2021-01,3,50
2021-02,3,47
2021-03,3,44
2021-04,4,45
2021-05,4,43
2021-06,3,40
2021-07,3,39
2021-08,3,39
2021-09,4,43
2021-10,4,40
2021-11,4,45
2021-12,3,36
2022-01,3,42
2022-02,4,41
2022-03,4,44
2022-04,4,44
2022-05,4,40
2022-06,4,34
2022-07,4,37
2022-08,4,38
2022-09,4,36
2022-10,4,38
2022-11,4,41
2022-12,4,35
2023-01,5,41
2023-02,4,44
2023-03,4,40
2023-04,4,39
2023-05,4,37
2023-06,3,36
2023-07,3,36
2023-08,3,36
2023-09,4,36
2023-10,5,37
2023-11,5,40
2023-12,4,35
2024-01,5,40
2024-02,5,42
2024-03,5,40
2024-04,5,38
2024-05,4,36
2024-06,4,33
2024-07,3,35
2024-08,4,35
2024-09,5,38
2024-10,5,40
2024-11,5,39
2024-12,4,34
2025-01,5,42
2025-02,6,45
2025-03,6,43
2025-04,6,45
2025-05,7,45
2025-06,7,48
2025-07,7,62
2025-08,6,53
2025-09,8,59
2025-10,5,47
